iter	MultiClass
0	1.089594034
1	1.081407315
2	1.069383364
3	1.058795709
4	1.051891789
5	1.047804299
6	1.042709702
7	1.030809524
8	1.022122538
9	1.017385922
10	1.014058309
11	1.009689064
12	1.002109602
13	0.999106532
14	0.9936384901
15	0.9870619997
16	0.9810778719
17	0.9764141344
18	0.9691050561
19	0.9623124028
20	0.9536995867
21	0.9456235
22	0.9387591625
23	0.9298680467
24	0.9247190393
25	0.9222216083
26	0.9193455367
27	0.9149964422
28	0.9119829224
29	0.907492128
30	0.9003748632
31	0.8964725808
32	0.894993302
33	0.8924470648
34	0.8898135503
35	0.8861043899
36	0.8830444082
37	0.8807022037
38	0.8766197059
39	0.8747060384
40	0.871805558
41	0.8709715674
42	0.8682086166
43	0.8646046887
44	0.8629072438
45	0.8608922463
46	0.858912239
47	0.8551138063
48	0.8511712957
49	0.8495541071
50	0.8483168864
51	0.8462754457
52	0.8441374708
53	0.8425020909
54	0.8412025165
55	0.8402565589
56	0.838657243
57	0.8364194273
58	0.8347305121
59	0.8313845106
60	0.8300663533
61	0.8289024963
62	0.8273087517
63	0.8252233198
64	0.82393526
65	0.8218028568
66	0.8209117353
67	0.8195264444
68	0.818397869
69	0.8151467794
70	0.8135611155
71	0.8130166687
72	0.8114908399
73	0.8111303504
74	0.8098678841
75	0.8080877215
76	0.8052749338
77	0.803650708
78	0.8015748282
79	0.8012977615
80	0.797883912
81	0.7966646573
82	0.7950230888
83	0.7941137429
84	0.7934779674
85	0.7917646597
86	0.7900067358
87	0.7881857246
88	0.78750363
89	0.7862131179
90	0.7850067293
91	0.7838034233
92	0.7820546958
93	0.7807898041
94	0.7790594819
95	0.7783855693
96	0.7770666201
97	0.7758423409
98	0.7752036804
99	0.7742289478
100	0.7734763349
101	0.7728316827
102	0.7711043159
103	0.7701495762
104	0.7695927996
105	0.7687822508
106	0.7677794555
107	0.7668345735
108	0.7661773467
109	0.7654718334
110	0.763614935
111	0.7620398687
112	0.7613196317
113	0.761003935
114	0.760174745
115	0.758816514
116	0.7572163636
117	0.7555558096
118	0.7549047449
119	0.7547071279
120	0.7534806088
121	0.751779741
122	0.7516001478
123	0.7502434002
124	0.7486379631
125	0.7463484971
126	0.7449424688
127	0.7437864845
128	0.742125155
129	0.7417620249
130	0.7410364966
131	0.7400089051
132	0.7391089587
133	0.7383934787
134	0.7380294746
135	0.737801624
136	0.7364174392
137	0.7353651312
138	0.7344276177
139	0.7341571356
140	0.7329122903
141	0.7321353233
142	0.7313391976
143	0.730842354
144	0.7288289065
145	0.7270722014
146	0.7258374748
147	0.7247353025
148	0.7242848664
149	0.7238275636
150	0.7230126644
151	0.7216012709
152	0.7197820279
153	0.7188990013
154	0.7179382539
155	0.7176736989
156	0.7171528614
157	0.7161822478
158	0.7158781518
159	0.714318648
160	0.7137006897
161	0.7131537124
162	0.7119884084
163	0.7106484755
164	0.7097381016
165	0.7090477043
166	0.7078887104
167	0.7065246827
168	0.7051499766
169	0.7035217565
170	0.7024333029
171	0.7012375382
172	0.7003481184
173	0.6988220942
174	0.6975337485
175	0.6967729399
176	0.6960562021
177	0.6955272298
178	0.6949750892
179	0.6937409667
180	0.6919032953
181	0.691384523
182	0.6906132766
183	0.6897450414
184	0.6888246827
185	0.6873567898
186	0.6866294074
187	0.6864126208
188	0.6856900119
189	0.6846668452
190	0.6842952021
191	0.6831805187
192	0.682187697
193	0.6820318941
194	0.6814303139
195	0.6811450731
196	0.6805418903
197	0.6794117597
198	0.6789798369
199	0.6781188847
200	0.6772042344
201	0.6767550511
202	0.6759684393
203	0.6751981345
204	0.6746499805
205	0.6744232198
206	0.6733548915
207	0.6723381921
208	0.671173522
209	0.6697913857
210	0.6691097632
211	0.668629753
212	0.668525065
213	0.6680161322
214	0.6672198117
215	0.6662950905
216	0.6655581032
217	0.6645101445
218	0.6643376891
219	0.663539245
220	0.6631611092
221	0.6625442679
222	0.6619625536
223	0.660809674
224	0.6602504758
225	0.6586179287
226	0.6580757951
227	0.6573169727
228	0.6561927433
229	0.655167358
230	0.6546858968
231	0.6536779492
232	0.6529832137
233	0.6522230535
234	0.6518925847
235	0.6505916018
236	0.6503521681
237	0.649538197
238	0.6488730665
239	0.6482684771
240	0.6476782953
241	0.6470913139
242	0.6466209085
243	0.6462836507
244	0.6458068258
245	0.6445368389
246	0.6434627488
247	0.6431357216
248	0.6427662106
249	0.6414934047
250	0.6403167899
251	0.6397787616
252	0.6390318551
253	0.6380011325
254	0.6373514301
255	0.6364492
256	0.6360949138
257	0.635169114
258	0.6344714932
259	0.6338767456
260	0.6329478185
261	0.6320982649
262	0.6317050047
263	0.6311826962
264	0.6307875613
265	0.6300048805
266	0.6293006116
267	0.6283723928
268	0.6279555841
269	0.6272450338
270	0.6264349737
271	0.6255610658
272	0.6247181755
273	0.6240147253
274	0.6237794896
275	0.6227787833
276	0.6219672474
277	0.6214699843
278	0.620932549
279	0.6195402261
280	0.6193640641
281	0.6190677739
282	0.6182962617
283	0.617639011
284	0.6172394036
285	0.6164270571
286	0.6157117486
287	0.6151643713
288	0.6144818544
289	0.6139479158
290	0.6134485319
291	0.6128314451
292	0.6118362736
293	0.6116504751
294	0.6109882326
295	0.6107201528
296	0.6102345844
297	0.609324801
298	0.6085207076
299	0.6077268149
300	0.6071696571
301	0.6066986116
302	0.6061885779
303	0.6048643244
304	0.603779753
305	0.60303093
306	0.6024516127
307	0.6017545067
308	0.6016289368
309	0.6011615327
310	0.5999556335
311	0.5997198549
312	0.5987280104
313	0.5983228603
314	0.5979880564
315	0.5973900995
316	0.5966304253
317	0.5961484928
318	0.5954080227
319	0.5947007506
320	0.5939420614
321	0.5932473978
322	0.5922733587
323	0.5917021808
324	0.5912680278
325	0.5908111383
326	0.5904558039
327	0.5899821945
328	0.5891226439
329	0.5885187996
330	0.5875447114
331	0.5871996338
332	0.5864677272
333	0.5862223503
334	0.5853269635
335	0.5846365124
336	0.5840892183
337	0.5833830389
338	0.5828828733
339	0.581672084
340	0.5813212315
341	0.580902805
342	0.5802308964
343	0.57969585
344	0.5790476065
345	0.5788375606
346	0.5781261938
347	0.5775510335
348	0.5765527785
349	0.5758884947
350	0.575576369
351	0.5752648473
352	0.5748623601
353	0.5741214305
354	0.5729921405
355	0.5725106837
356	0.5719641619
357	0.5713883192
358	0.5712162467
359	0.5704298552
360	0.5696238208
361	0.5687397855
362	0.5678584348
363	0.5667125002
364	0.5663928893
365	0.5660050151
366	0.5654488808
367	0.5652012975
368	0.5650060051
369	0.5646657234
370	0.5643701912
371	0.5636194506
372	0.5634448026
373	0.562867417
374	0.562128307
375	0.5618539841
376	0.5614634596
377	0.560707356
378	0.5601462512
379	0.5598312302
380	0.5596504648
381	0.5592303632
382	0.5585771032
383	0.5578534193
384	0.5574990915
385	0.5570553747
386	0.5560210841
387	0.5555813119
388	0.5554370546
389	0.5549504652
390	0.5544750724
391	0.5539964123
392	0.5536133027
393	0.5533828999
394	0.5531306298
395	0.5525485985
396	0.5517520754
397	0.5506714171
398	0.5503371044
399	0.5497312505
400	0.5489757356
401	0.5485316493
402	0.5477528114
403	0.5470999172
404	0.5469348243
405	0.5464946308
406	0.5462891311
407	0.5460842153
408	0.5455407459
409	0.5453577594
410	0.5451678539
411	0.5446259794
412	0.544297034
413	0.5435464699
414	0.5427719711
415	0.5422864536
416	0.5415820158
417	0.54118995
418	0.5403233956
419	0.540131844
420	0.539307074
421	0.5391910631
422	0.5388319379
423	0.5381501757
424	0.5377963727
425	0.537442864
426	0.5370235114
427	0.5362803813
428	0.5359731852
429	0.5351907081
430	0.5349090035
431	0.5346197615
432	0.533879642
433	0.5330556324
434	0.5328555227
435	0.5326458045
436	0.5320083653
437	0.5314690967
438	0.5312309251
439	0.5307855237
440	0.5297692606
441	0.529384687
442	0.5288298314
443	0.5282697825
444	0.5277296514
445	0.5273461338
446	0.5268046352
447	0.5262481727
448	0.525506617
449	0.5248297948
450	0.5241503925
451	0.5239379462
452	0.5235309783
453	0.5228860423
454	0.5222082988
455	0.5220440234
456	0.5211584385
457	0.5204454185
458	0.520176156
459	0.5199875334
460	0.5192721407
461	0.5189960057
462	0.518502057
463	0.5177545997
464	0.5168989072
465	0.5166531291
466	0.5158529189
467	0.5149746655
468	0.5147416241
469	0.5144266837
470	0.5141639151
471	0.5137907486
472	0.5133517494
473	0.5132149345
474	0.5126890323
475	0.5125681967
476	0.5119738462
477	0.51176476
478	0.5113875671
479	0.5105330949
480	0.509886627
481	0.5095014834
482	0.5092628352
483	0.509181887
484	0.5087191839
485	0.5086216325
486	0.508197975
487	0.507502584
488	0.5069338236
489	0.5064774727
490	0.50550315
491	0.5046033908
492	0.5041217702
493	0.5039969359
494	0.5032399665
495	0.5029129032
496	0.5023627493
497	0.5018870263
498	0.5012430193
499	0.500749677
500	0.5005701112
501	0.5000144129
502	0.4998172884
503	0.4996301949
504	0.4990885551
505	0.4989772752
506	0.4984433034
507	0.4980401556
508	0.4976845202
509	0.4971168183
510	0.4966627016
511	0.4962543629
512	0.495804366
513	0.4956614119
514	0.4950328386
515	0.494321224
516	0.4939247907
517	0.4927158111
518	0.4922274459
519	0.4914716626
520	0.4908940523
521	0.4905545987
522	0.4901651311
523	0.4896977297
524	0.4894455532
525	0.4890164239
526	0.4884188811
527	0.4878038085
528	0.4875774026
529	0.4872864652
530	0.4869251467
531	0.4867115152
532	0.4862560988
533	0.4859730728
534	0.4855614248
535	0.4852324047
536	0.4845253649
537	0.4832303908
538	0.4829973641
539	0.4826285465
540	0.482244115
541	0.4821005335
542	0.4819368189
543	0.4816297552
544	0.4812092016
545	0.4810309089
546	0.4804343896
547	0.4801607477
548	0.4795095319
549	0.4790339488
550	0.4787308946
551	0.4780341456
552	0.4778005843
553	0.4767130574
554	0.4765471458
555	0.4762140383
556	0.4756843779
557	0.4754683317
558	0.4747231434
559	0.4745211395
560	0.4740083748
561	0.4734799153
562	0.4730265039
563	0.4728756014
564	0.4724751167
565	0.4719532342
566	0.4714482969
567	0.4709108901
568	0.4702220431
569	0.4699475255
570	0.469652061
571	0.4691285845
572	0.4689733531
573	0.4687480781
574	0.4682564768
575	0.4678710452
576	0.4676670255
577	0.4672828921
578	0.466792879
579	0.466354045
580	0.4659010858
581	0.4656983065
582	0.4653706919
583	0.4648984587
584	0.4643783927
585	0.4641940475
586	0.4635667518
587	0.463407499
588	0.4628278725
589	0.4619988968
590	0.4618225241
591	0.461412127
592	0.460873383
593	0.4603337397
594	0.459578255
595	0.4591958249
596	0.4585939653
597	0.4581079294
598	0.4576265463
599	0.4571817907
600	0.4567743668
601	0.456498455
602	0.4559966822
603	0.4557707339
604	0.4554929299
605	0.4551109654
606	0.4545719072
607	0.4540586846
608	0.4535889937
609	0.4530716293
610	0.4523813906
611	0.45197525
612	0.4515304197
613	0.4514296321
614	0.4510379461
