iter	Passed	Remaining
0	25	2528188
1	41	2060181
2	57	1931346
3	74	1854645
4	90	1816795
5	108	1800904
6	127	1816944
7	145	1815971
8	162	1807916
9	179	1790221
10	194	1768003
11	210	1752638
12	226	1740880
13	242	1729395
14	257	1719730
15	274	1713121
16	289	1701978
17	305	1694456
18	320	1686829
19	336	1683428
20	351	1674979
21	369	1678954
22	385	1673847
23	400	1668553
24	416	1664150
25	431	1658732
26	446	1654676
27	462	1649894
28	477	1646907
29	493	1643559
30	508	1640419
31	523	1636201
32	539	1633089
33	554	1631113
34	569	1627604
35	585	1624425
36	600	1621436
37	615	1618307
38	630	1616810
39	646	1614810
40	661	1613963
41	678	1614136
42	694	1613296
43	709	1611570
44	724	1609976
45	740	1608698
46	755	1607406
47	771	1605829
48	786	1604141
49	801	1602593
50	817	1601431
51	833	1601575
52	848	1600253
53	864	1600021
54	879	1598718
55	895	1597515
56	910	1596279
57	925	1595264
58	942	1595844
59	957	1594350
60	972	1592506
61	986	1590496
62	1003	1591298
63	1018	1590876
64	1034	1589901
65	1049	1589326
66	1069	1595704
67	1085	1595128
68	1100	1593674
69	1119	1598676
70	1137	1600505
71	1154	1601641
72	1170	1601685
73	1185	1601364
74	1203	1603325
75	1220	1604474
76	1237	1606468
77	1253	1606378
78	1269	1605347
79	1284	1603762
80	1299	1603406
81	1314	1602337
82	1330	1601804
83	1346	1601534
84	1361	1600646
85	1377	1600612
86	1393	1600500
87	1408	1599491
88	1424	1598866
89	1440	1598827
90	1455	1598123
91	1471	1597741
92	1486	1596937
93	1501	1596333
94	1517	1595573
95	1533	1595407
96	1548	1594582
97	1563	1593697
98	1578	1592767
99	1593	1592202
100	1609	1591491
101	1624	1590652
102	1660	1610567
103	1677	1611450
104	1695	1612757
105	1712	1614093
106	1730	1615298
107	1746	1615178
108	1762	1615392
109	1778	1615400
110	1795	1615476
111	1811	1615190
112	1827	1615001
113	1843	1615282
114	1859	1615275
115	1875	1615283
116	1891	1614756
117	1907	1614918
118	1923	1614759
119	1939	1614506
120	1956	1614944
121	1972	1614991
122	1989	1615192
123	2006	1615954
124	2022	1616261
125	2038	1616159
126	2054	1615789
127	2072	1617061
128	2088	1616979
129	2108	1620024
130	2127	1621749
131	2145	1623049
132	2160	1622408
133	2176	1622320
134	2192	1621522
135	2207	1621031
136	2222	1620380
137	2239	1620863
138	2256	1620849
139	2276	1623830
140	2292	1623683
141	2308	1623686
142	2324	1623524
143	2341	1623786
144	2358	1624445
145	2375	1624556
146	2390	1624111
147	2406	1623605
148	2422	1623225
149	2437	1622829
150	2453	1622436
151	2469	1621897
152	2485	1621856
153	2500	1621480
154	2516	1620802
155	2531	1620323
156	2547	1619912
157	2563	1619887
158	2578	1619190
159	2594	1618836
160	2609	1618209
161	2624	1617570
162	2639	1616981
163	2655	1616546
164	2670	1616091
165	2686	1615733
166	2702	1615784
167	2717	1615126
168	2733	1614730
169	2748	1614071
170	2764	1613702
171	2779	1613246
172	2795	1612912
173	2811	1612755
174	2826	1612553
175	2842	1612378
176	2859	1612494
177	2875	1612303
178	2890	1611850
179	2906	1612020
180	2922	1611516
181	2937	1611028
182	2953	1610981
183	2968	1610583
184	2984	1610495
185	3001	1610697
186	3017	1610650
187	3032	1610036
188	3047	1609632
189	3064	1609918
190	3080	1609712
191	3101	1612203
192	3118	1612843
193	3134	1612407
194	3150	1612381
195	3165	1611954
196	3180	1611198
197	3195	1610834
198	3212	1611169
199	3236	1615259
200	3254	1615731
201	3270	1615879
202	3286	1615874
203	3303	1616013
204	3319	1616014
205	3335	1615880
206	3351	1615909
207	3370	1617104
208	3387	1617478
209	3405	1618188
210	3422	1618807
211	3440	1619205
212	3457	1619693
213	3474	1620102
214	3491	1620574
215	3508	1620937
216	3524	1620871
217	3541	1621010
218	3556	1620613
219	3572	1620411
220	3588	1620135
221	3604	1620018
222	3620	1620088
223	3637	1620183
224	3654	1620721
225	3671	1620679
226	3686	1620532
227	3703	1620552
228	3719	1620663
229	3735	1620266
230	3750	1620012
231	3766	1619871
232	3783	1619962
233	3799	1619866
234	3815	1619780
235	3831	1619786
236	3848	1619912
237	3864	1619883
238	3880	1619633
239	3896	1619470
240	3911	1619278
241	3928	1619518
242	3944	1619467
243	3961	1619584
244	3984	1622368
245	4000	1622391
246	4017	1622375
247	4033	1622495
248	4049	1622357
249	4069	1623535
250	4090	1625542
251	4107	1625897
252	4125	1626460
253	4143	1627219
254	4158	1626585
255	4173	1625955
256	4187	1625188
257	4201	1624377
258	4216	1623642
259	4230	1622916
260	4245	1622311
261	4260	1621813
262	4274	1621056
263	4289	1620478
264	4303	1619793
265	4318	1619149
266	4332	1618349
267	4347	1617808
