tx_datetime,is_turnpt,close,duration,prc_diff
2011-01-03,,9020.0,1,-42.0
2011-01-04,,8978.0,1,-140.0
2011-01-05,1.0,8838.0,1,31.0
2011-01-06,-1.0,8869.0,1,-116.0
2011-01-07,1.0,8753.0,3,33.0
2011-01-10,,8786.0,1,156.0
2011-01-11,,8942.0,1,25.0
2011-01-12,,8967.0,1,2.0
2011-01-13,,8969.0,1,1.0
2011-01-14,-1.0,8970.0,3,-48.0
2011-01-17,1.0,8922.0,1,50.0
2011-01-18,,8972.0,1,77.0
2011-01-19,,9049.0,0,0.0
2011-01-20,,9009.0,1,-102.0
2011-01-21,1.0,8907.0,3,40.0
2011-01-24,,8947.0,1,19.0
2011-01-25,,8966.0,1,86.0
2011-01-26,,9052.0,1,53.0
2011-01-27,,9105.0,1,33.0
2011-01-28,-1.0,9138.0,11,-39.0
2011-02-08,,9099.0,1,-83.0
2011-02-09,,9016.0,1,-192.0
2011-02-10,,8824.0,1,-261.0
2011-02-11,1.0,8563.0,3,78.0
2011-02-14,,8641.0,1,55.0
2011-02-15,-1.0,8696.0,1,-72.0
2011-02-16,,8624.0,0,0.0
2011-02-17,,8629.0,1,179.0
2011-02-18,,8808.0,3,1.0
2011-02-21,-1.0,8809.0,1,-193.0
2011-02-22,,8616.0,1,-94.0
2011-02-23,1.0,8522.0,1,9.0
2011-02-24,,8531.0,1,84.0
2011-02-25,,8615.0,4,76.0
2011-03-01,-1.0,8691.0,1,-89.0
2011-03-02,1.0,8602.0,1,146.0
2011-03-03,,8748.0,1,10.0
2011-03-04,-1.0,8758.0,3,-35.0
2011-03-07,1.0,8723.0,1,17.0
2011-03-08,,8740.0,1,17.0
2011-03-09,-1.0,8757.0,1,-135.0
2011-03-10,,8622.0,1,-60.0
2011-03-11,,8562.0,3,-62.0
2011-03-14,,8500.0,1,-243.0
2011-03-15,1.0,8257.0,1,30.0
2011-03-16,,8287.0,0,0.0
2011-03-17,,8255.0,1,64.0
2011-03-18,,8319.0,3,71.0
2011-03-21,,8390.0,1,25.0
2011-03-22,,8415.0,1,33.0
2011-03-23,,8448.0,1,79.0
2011-03-24,,8527.0,1,52.0
2011-03-25,-1.0,8579.0,3,-59.0
2011-03-28,1.0,8520.0,1,55.0
2011-03-29,,8575.0,1,15.0
2011-03-30,,8590.0,1,52.0
2011-03-31,,8642.0,1,44.0
2011-04-01,,8686.0,5,152.0
2011-04-06,,8838.0,1,59.0
2011-04-07,-1.0,8897.0,1,-31.0
2011-04-08,,8866.0,3,-7.0
2011-04-11,,8859.0,1,-154.0
2011-04-12,1.0,8705.0,1,101.0
2011-04-13,-1.0,8806.0,1,-7.0
2011-04-14,,8799.0,1,-95.0
2011-04-15,1.0,8704.0,3,6.0
2011-04-18,-1.0,8710.0,1,-83.0
2011-04-19,1.0,8627.0,1,182.0
2011-04-20,,8809.0,0,0.0
2011-04-21,,8993.0,1,-1.0
2011-04-22,,8992.0,3,-17.0
2011-04-25,,8975.0,1,-5.0
2011-04-26,1.0,8970.0,1,90.0
2011-04-27,-1.0,9060.0,1,-50.0
2011-04-28,1.0,9010.0,1,17.0
2011-04-29,-1.0,9027.0,4,-101.0
2011-05-03,1.0,8926.0,1,11.0
2011-05-04,,8937.0,1,113.0
2011-05-05,-1.0,9050.0,1,-32.0
2011-05-06,1.0,9018.0,3,45.0
2011-05-09,-1.0,9063.0,1,-17.0
2011-05-10,,9046.0,1,-26.0
2011-05-11,1.0,9020.0,1,10.0
2011-05-12,,9030.0,1,4.0
2011-05-13,-1.0,9034.0,3,-112.0
2011-05-16,,8922.0,1,-8.0
2011-05-17,1.0,8914.0,1,49.0
2011-05-18,,8963.0,0,0.0
2011-05-19,,8840.0,1,-23.0
2011-05-20,,8817.0,3,-79.0
2011-05-23,1.0,8738.0,1,24.0
2011-05-24,-1.0,8762.0,1,-84.0
2011-05-25,1.0,8678.0,1,109.0
2011-05-26,-1.0,8787.0,1,-5.0
2011-05-27,1.0,8782.0,3,38.0
2011-05-30,,8820.0,1,201.0
2011-05-31,,9021.0,1,71.0
2011-06-01,-1.0,9092.0,1,-65.0
2011-06-02,1.0,9027.0,1,43.0
2011-06-03,,9070.0,4,25.0
2011-06-07,-1.0,9095.0,1,-64.0
2011-06-08,1.0,9031.0,1,0.0
2011-06-09,-1.0,9031.0,1,-202.0
2011-06-10,,8829.0,3,-85.0
2011-06-13,1.0,8744.0,1,102.0
2011-06-14,-1.0,8846.0,1,-218.0
2011-06-15,,8628.0,0,0.0
2011-06-16,,8493.0,1,-32.0
2011-06-17,,8461.0,3,-60.0
2011-06-20,1.0,8401.0,1,64.0
2011-06-21,-1.0,8465.0,1,-24.0
2011-06-22,,8441.0,1,-46.0
2011-06-23,1.0,8395.0,1,16.0
2011-06-24,-1.0,8411.0,3,-74.0
2011-06-27,,8337.0,1,-29.0
2011-06-28,1.0,8308.0,1,163.0
2011-06-29,,8471.0,1,32.0
2011-06-30,,8503.0,1,63.0
2011-07-01,,8566.0,3,37.0
2011-07-04,,8603.0,1,25.0
2011-07-05,,8628.0,1,64.0
2011-07-06,-1.0,8692.0,1,-2.0
2011-07-07,,8690.0,1,-52.0
2011-07-08,,8638.0,3,-39.0
2011-07-11,,8599.0,1,-180.0
2011-07-12,1.0,8419.0,1,44.0
2011-07-13,,8463.0,1,19.0
2011-07-14,,8482.0,1,80.0
2011-07-15,-1.0,8562.0,3,-75.0
2011-07-18,1.0,8487.0,1,48.0
2011-07-19,,8535.0,1,100.0
2011-07-20,,8635.0,0,0.0
2011-07-21,,8652.0,1,39.0
2011-07-22,-1.0,8691.0,3,-83.0
2011-07-25,1.0,8608.0,1,130.0
2011-07-26,,8738.0,1,24.0
2011-07-27,-1.0,8762.0,1,-34.0
2011-07-28,,8728.0,1,-115.0
2011-07-29,1.0,8613.0,3,68.0
2011-08-01,-1.0,8681.0,1,-107.0
2011-08-02,,8574.0,1,-135.0
2011-08-03,,8439.0,1,-145.0
2011-08-04,,8294.0,1,-528.0
2011-08-05,,7766.0,3,-211.0
2011-08-08,,7555.0,1,-22.0
2011-08-09,1.0,7533.0,1,129.0
2011-08-10,,7662.0,1,37.0
2011-08-11,-1.0,7699.0,1,-110.0
2011-08-12,1.0,7589.0,3,228.0
2011-08-15,-1.0,7817.0,1,-44.0
2011-08-16,,7773.0,1,-130.0
2011-08-17,,7643.0,0,0.0
2011-08-18,,7500.0,1,-305.0
2011-08-19,1.0,7195.0,3,57.0
2011-08-22,,7252.0,1,257.0
2011-08-23,-1.0,7509.0,1,-86.0
2011-08-24,,7423.0,1,-57.0
2011-08-25,1.0,7366.0,1,81.0
2011-08-26,,7447.0,3,78.0
2011-08-29,,7525.0,1,78.0
2011-08-30,,7603.0,1,104.0
2011-08-31,-1.0,7707.0,1,-7.0
2011-09-01,1.0,7700.0,1,10.0
2011-09-02,-1.0,7710.0,3,-230.0
2011-09-05,,7480.0,1,-140.0
2011-09-06,1.0,7340.0,1,196.0
2011-09-07,,7536.0,1,14.0
2011-09-08,,7550.0,1,52.0
2011-09-09,-1.0,7602.0,4,-232.0
2011-09-13,,7370.0,1,-177.0
2011-09-14,1.0,7193.0,1,214.0
2011-09-15,,7407.0,1,210.0
2011-09-16,-1.0,7617.0,3,-139.0
2011-09-19,1.0,7478.0,1,6.0
2011-09-20,,7484.0,1,47.0
2011-09-21,,7531.0,0,0.0
2011-09-22,,7276.0,1,-222.0
2011-09-23,,7054.0,3,-173.0
2011-09-26,1.0,6881.0,1,254.0
2011-09-27,-1.0,7135.0,1,-35.0
2011-09-28,1.0,7100.0,1,82.0
2011-09-29,-1.0,7182.0,1,0.0
2011-09-30,,7182.0,3,-167.0
2011-10-03,1.0,7015.0,1,79.0
2011-10-04,-1.0,7094.0,1,-104.0
2011-10-05,1.0,6990.0,1,132.0
2011-10-06,,7122.0,1,69.0
2011-10-07,,7191.0,4,216.0
2011-10-11,-1.0,7407.0,1,-19.0
2011-10-12,1.0,7388.0,1,2.0
2011-10-13,-1.0,7390.0,1,-13.0
2011-10-14,1.0,7377.0,3,76.0
2011-10-17,-1.0,7453.0,1,-116.0
2011-10-18,1.0,7337.0,1,0.0
2011-10-19,,7337.0,0,0.0
2011-10-20,,7213.0,1,45.0
2011-10-21,,7258.0,3,236.0
2011-10-24,-1.0,7494.0,1,-24.0
2011-10-25,1.0,7470.0,1,77.0
2011-10-26,,7547.0,1,43.0
2011-10-27,,7590.0,1,38.0
2011-10-28,-1.0,7628.0,3,-67.0
2011-10-31,1.0,7561.0,1,76.0
2011-11-01,-1.0,7637.0,1,-28.0
2011-11-02,,7609.0,1,-164.0
2011-11-03,1.0,7445.0,1,185.0
2011-11-04,,7630.0,3,5.0
2011-11-07,-1.0,7635.0,1,-45.0
2011-11-08,1.0,7590.0,1,24.0
2011-11-09,-1.0,7614.0,1,-296.0
2011-11-10,1.0,7318.0,1,38.0
2011-11-11,,7356.0,3,185.0
2011-11-14,-1.0,7541.0,1,-40.0
2011-11-15,,7501.0,1,-151.0
2011-11-16,,7350.0,0,0.0
2011-11-17,,7404.0,1,-152.0
2011-11-18,,7252.0,3,-202.0
2011-11-21,,7050.0,1,-27.0
2011-11-22,,7023.0,1,-205.0
2011-11-23,1.0,6818.0,1,14.0
2011-11-24,-1.0,6832.0,1,-75.0
2011-11-25,1.0,6757.0,3,163.0
2011-11-28,,6920.0,1,55.0
2011-11-29,-1.0,6975.0,1,-72.0
2011-11-30,1.0,6903.0,1,307.0
2011-12-01,-1.0,7210.0,1,-55.0
2011-12-02,,7155.0,3,-22.0
2011-12-05,,7133.0,1,-148.0
2011-12-06,1.0,6985.0,1,69.0
2011-12-07,-1.0,7054.0,1,-93.0
2011-12-08,,6961.0,1,-77.0
2011-12-09,1.0,6884.0,3,59.0
2011-12-12,-1.0,6943.0,1,-46.0
2011-12-13,1.0,6897.0,1,22.0
2011-12-14,-1.0,6919.0,1,-168.0
2011-12-15,1.0,6751.0,1,24.0
2011-12-16,-1.0,6775.0,3,-138.0
2011-12-19,1.0,6637.0,1,34.0
2011-12-20,,6671.0,1,289.0
2011-12-21,,6960.0,0,0.0
2011-12-22,,6954.0,1,153.0
2011-12-23,-1.0,7107.0,3,-4.0
2011-12-26,,7103.0,1,-15.0
2011-12-27,,7088.0,1,-36.0
2011-12-28,1.0,7052.0,1,21.0
2011-12-29,-1.0,7073.0,1,-33.0
2011-12-30,,7040.0,3,-91.0
2012-01-02,1.0,6949.0,1,100.0
2012-01-03,,7049.0,1,24.0
2012-01-04,,7073.0,1,46.0
2012-01-05,-1.0,7119.0,1,-34.0
2012-01-06,,7085.0,3,-30.0
2012-01-09,1.0,7055.0,1,117.0
2012-01-10,,7172.0,1,7.0
